	Domain	Supergroup	Division	Subdivision	Class	Order	Family	Genus	Species
18S_ASV_5138	Eukaryota	Obazoa	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Anthozoa	Montastraea	Montastraea_annularis
18S_ASV_5139	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium_sp.
18S_ASV_5140	Eukaryota	Obazoa	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Anthozoa	Montastraea	Montastraea_annularis
18S_ASV_5141	Eukaryota	Obazoa	Opisthokonta	Metazoa	Porifera	Porifera_X	Demospongiae	NA	NA
18S_ASV_5142	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum_sp.
18S_ASV_5143	Eukaryota	Obazoa	Opisthokonta	Metazoa	Porifera	Porifera_X	Demospongiae	NA	NA
18S_ASV_5144	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodiniaceae_X	Symbiodiniaceae_Foram_Clade_D
18S_ASV_5145	Eukaryota	Obazoa	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Anthozoa	Montastraea	NA
18S_ASV_5146	Eukaryota	Obazoa	Opisthokonta	Metazoa	Porifera	Porifera_X	Demospongiae	NA	NA
18S_ASV_5147	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Ulvophyceae	Cladophorales	Cladophorales_X	NA	NA
18S_ASV_5148	Eukaryota	Obazoa	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Anthozoa	Montastraea	Montastraea_annularis
18S_ASV_5149	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum_minutum
18S_ASV_5150	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum_sp.
18S_ASV_5151	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium_sp.
18S_ASV_5152	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	NA	NA
18S_ASV_5153	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodiniaceae_X	Symbiodiniaceae_Foram_Clade_D
18S_ASV_5154	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum_sp.
18S_ASV_5155	Eukaryota	Obazoa	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Anthozoa	Montastraea	Montastraea_annularis
18S_ASV_5156	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	NA	NA
18S_ASV_5157	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	NA	NA
18S_ASV_5158	Eukaryota	Obazoa	Opisthokonta	Metazoa	Porifera	Porifera_X	Demospongiae	NA	NA
18S_ASV_5159	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium_sp.
18S_ASV_5160	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	NA	NA
18S_ASV_5161	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	NA
18S_ASV_5162	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	NA	NA
