	Kingdom	Phylum	Class	Order	Family	Genus	Species
16S_ASV_616	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
16S_ASV_617	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
16S_ASV_618	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
16S_ASV_619	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Epibacterium	NA
16S_ASV_620	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
16S_ASV_621	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	NA
16S_ASV_622	Bacteria	Chloroflexi	JG30-KF-CM66	NA	NA	NA	NA
16S_ASV_623	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA	NA
16S_ASV_624	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
16S_ASV_625	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquimarina	NA
16S_ASV_626	Bacteria	Proteobacteria	Alphaproteobacteria	NRL2	NA	NA	NA
16S_ASV_627	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	AqS1	NA
16S_ASV_628	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	NA
16S_ASV_629	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	NA
16S_ASV_630	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
16S_ASV_631	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Rubinisphaera	NA
16S_ASV_632	Bacteria	Firmicutes	Clostridia	MAT-CR-H4-C10	NA	NA	NA
16S_ASV_633	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	NA	NA
16S_ASV_634	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ekhidna	NA
16S_ASV_635	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	NA
16S_ASV_636	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Coraliomargarita	NA
16S_ASV_637	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA
16S_ASV_638	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	NA
16S_ASV_639	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae	Pseudovibrio	NA
16S_ASV_640	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
